Census Region Code,Year,Age,Race,Deaths,Population,Crude Rate
CENS-R1,2007,15-24 years,Asian or Pacific Islander,26,451289,5.8
CENS-R1,2007,15-24 years,Black or African American,60,1223319,4.9
CENS-R1,2007,15-24 years,White,454,5873182,7.7
CENS-R1,2007,25-34 years,Asian or Pacific Islander,36,580790,6.2
CENS-R1,2007,25-34 years,Black or African American,67,998769,6.7
CENS-R1,2007,25-34 years,White,578,5180278,11.2
CENS-R1,2007,35-44 years,Asian or Pacific Islander,24,515021,4.7
CENS-R1,2007,35-44 years,Black or African American,60,1063304,5.6
CENS-R1,2007,35-44 years,White,882,6326690,13.9
CENS-R1,2007,45-54 years,Asian or Pacific Islander,17,412413,Unreliable
CENS-R1,2007,45-54 years,Black or African American,48,972661,4.9
CENS-R1,2007,45-54 years,White,997,6891275,14.5
CENS-R1,2007,55-64 years,Asian or Pacific Islander,16,269878,Unreliable
CENS-R1,2007,55-64 years,Black or African American,22,641342,3.4
CENS-R1,2007,55-64 years,White,687,5317151,12.9
CENS-R1,2007,65-74 years,White,316,3158056,10
CENS-R1,2007,75-84 years,White,271,2427335,11.2
CENS-R1,2007,85+ years,White,120,1025863,11.7
CENS-R1,2008,5-14 years,White,28,5297999,0.5
CENS-R1,2008,15-24 years,Asian or Pacific Islander,12,465241,Unreliable
CENS-R1,2008,15-24 years,Black or African American,59,1245490,4.7
CENS-R1,2008,15-24 years,White,432,5879471,7.3
CENS-R1,2008,25-34 years,Asian or Pacific Islander,27,592709,4.6
CENS-R1,2008,25-34 years,Black or African American,62,1009866,6.1
CENS-R1,2008,25-34 years,White,587,5228282,11.2
CENS-R1,2008,35-44 years,Asian or Pacific Islander,28,528519,5.3
CENS-R1,2008,35-44 years,Black or African American,60,1046414,5.7
CENS-R1,2008,35-44 years,White,894,6131837,14.6
CENS-R1,2008,45-54 years,Asian or Pacific Islander,31,430987,7.2
CENS-R1,2008,45-54 years,Black or African American,44,998600,4.4
CENS-R1,2008,45-54 years,White,1159,6922347,16.7
CENS-R1,2008,55-64 years,Asian or Pacific Islander,10,287744,Unreliable
CENS-R1,2008,55-64 years,Black or African American,15,660427,Unreliable
CENS-R1,2008,55-64 years,White,699,5427880,12.9
CENS-R1,2008,65-74 years,Asian or Pacific Islander,14,151672,Unreliable
CENS-R1,2008,65-74 years,Black or African American,12,381729,Unreliable
CENS-R1,2008,65-74 years,White,365,3272620,11.2
CENS-R1,2008,75-84 years,White,267,2389998,11.2
CENS-R1,2008,85+ years,White,101,1051805,9.6
CENS-R1,2009,5-14 years,Black or African American,10,1124843,Unreliable
CENS-R1,2009,5-14 years,White,22,5258529,0.4
CENS-R1,2009,15-24 years,Asian or Pacific Islander,27,479951,5.6
CENS-R1,2009,15-24 years,Black or African American,60,1267837,4.7
CENS-R1,2009,15-24 years,White,479,5882461,8.1
CENS-R1,2009,25-34 years,Asian or Pacific Islander,18,601906,Unreliable
CENS-R1,2009,25-34 years,Black or African American,61,1025807,5.9
CENS-R1,2009,25-34 years,White,551,5281702,10.4
CENS-R1,2009,35-44 years,Asian or Pacific Islander,27,541758,5
CENS-R1,2009,35-44 years,Black or African American,66,1025532,6.4
CENS-R1,2009,35-44 years,White,830,5921010,14
CENS-R1,2009,45-54 years,Asian or Pacific Islander,27,450334,6
CENS-R1,2009,45-54 years,Black or African American,59,1025498,5.8
CENS-R1,2009,45-54 years,White,1181,6947624,17
CENS-R1,2009,55-64 years,Asian or Pacific Islander,17,305214,Unreliable
CENS-R1,2009,55-64 years,Black or African American,17,685113,Unreliable
CENS-R1,2009,55-64 years,White,791,5598707,14.1
CENS-R1,2009,65-74 years,Asian or Pacific Islander,10,159955,Unreliable
CENS-R1,2009,65-74 years,White,343,3360627,10.2
CENS-R1,2009,75-84 years,White,258,2343810,11
CENS-R1,2009,85+ years,White,117,1079135,10.8
CENS-R1,2010,5-14 years,White,29,5219905,0.6
CENS-R1,2010,15-24 years,Asian or Pacific Islander,27,491645,5.5
CENS-R1,2010,15-24 years,Black or African American,86,1281802,6.7
CENS-R1,2010,15-24 years,White,555,5865277,9.5
CENS-R1,2010,25-34 years,Asian or Pacific Islander,29,606744,4.8
CENS-R1,2010,25-34 years,Black or African American,75,1036097,7.2
CENS-R1,2010,25-34 years,White,626,5322419,11.8
CENS-R1,2010,35-44 years,Asian or Pacific Islander,42,551781,7.6
CENS-R1,2010,35-44 years,Black or African American,69,1013798,6.8
CENS-R1,2010,35-44 years,White,842,5777134,14.6
CENS-R1,2010,45-54 years,Asian or Pacific Islander,27,461424,5.9
CENS-R1,2010,45-54 years,Black or African American,39,1041862,3.7
CENS-R1,2010,45-54 years,White,1263,6940153,18.2
CENS-R1,2010,55-64 years,Asian or Pacific Islander,18,320987,Unreliable
CENS-R1,2010,55-64 years,Black or African American,36,709164,5.1
CENS-R1,2010,55-64 years,White,844,5748310,14.7
CENS-R1,2010,65-74 years,Asian or Pacific Islander,13,166674,Unreliable
CENS-R1,2010,65-74 years,Black or African American,13,399323,Unreliable
CENS-R1,2010,65-74 years,White,360,3414922,10.5
CENS-R1,2010,75-84 years,White,254,2320832,10.9
CENS-R1,2010,85+ years,White,121,1099565,11
CENS-R1,2011,5-14 years,White,27,5153253,0.5
CENS-R1,2011,15-24 years,Asian or Pacific Islander,26,487493,5.3
CENS-R1,2011,15-24 years,Black or African American,68,1283575,5.3
CENS-R1,2011,15-24 years,White,589,5834457,10.1
CENS-R1,2011,25-34 years,Asian or Pacific Islander,27,620426,4.4
CENS-R1,2011,25-34 years,Black or African American,76,1057737,7.2
CENS-R1,2011,25-34 years,White,689,5427951,12.7
CENS-R1,2011,35-44 years,Asian or Pacific Islander,24,567910,4.2
CENS-R1,2011,35-44 years,Black or African American,61,997405,6.1
CENS-R1,2011,35-44 years,White,884,5604636,15.8
CENS-R1,2011,45-54 years,Asian or Pacific Islander,32,472148,6.8
CENS-R1,2011,45-54 years,Black or African American,51,1049602,4.9
CENS-R1,2011,45-54 years,White,1273,6859542,18.6
CENS-R1,2011,55-64 years,Asian or Pacific Islander,19,342458,Unreliable
CENS-R1,2011,55-64 years,Black or African American,33,745841,4.4
CENS-R1,2011,55-64 years,White,900,5964003,15.1
CENS-R1,2011,65-74 years,Asian or Pacific Islander,16,177624,Unreliable
CENS-R1,2011,65-74 years,Black or African American,15,411173,Unreliable
CENS-R1,2011,65-74 years,White,391,3506426,11.2
CENS-R1,2011,75-84 years,White,310,2287440,13.6
CENS-R1,2011,85+ years,White,138,1134074,12.2
CENS-R1,2012,5-14 years,White,27,5108653,0.5
CENS-R1,2012,15-24 years,Asian or Pacific Islander,28,502729,5.6
CENS-R1,2012,15-24 years,Black or African American,75,1289077,5.8
CENS-R1,2012,15-24 years,White,554,5805751,9.5
CENS-R1,2012,25-34 years,Asian or Pacific Islander,41,643754,6.4
CENS-R1,2012,25-34 years,Black or African American,67,1079015,6.2
CENS-R1,2012,25-34 years,White,695,5502364,12.6
CENS-R1,2012,35-44 years,Asian or Pacific Islander,32,588626,5.4
CENS-R1,2012,35-44 years,Black or African American,62,995378,6.2
CENS-R1,2012,35-44 years,White,841,5489442,15.3
CENS-R1,2012,45-54 years,Asian or Pacific Islander,27,481662,5.6
CENS-R1,2012,45-54 years,Black or African American,61,1051057,5.8
CENS-R1,2012,45-54 years,White,1246,6757541,18.4
CENS-R1,2012,55-64 years,Asian or Pacific Islander,26,360165,7.2
CENS-R1,2012,55-64 years,Black or African American,35,770566,4.5
CENS-R1,2012,55-64 years,White,921,6002203,15.3
CENS-R1,2012,65-74 years,Asian or Pacific Islander,17,191460,Unreliable
CENS-R1,2012,65-74 years,Black or African American,16,429292,Unreliable
CENS-R1,2012,65-74 years,White,412,3740714,11
CENS-R1,2012,75-84 years,Asian or Pacific Islander,11,86718,Unreliable
CENS-R1,2012,75-84 years,White,259,2263782,11.4
CENS-R1,2012,85+ years,White,123,1152097,10.7
CENS-R1,2013,5-14 years,Black or African American,11,1117617,Unreliable
CENS-R1,2013,5-14 years,White,46,5057456,0.9
CENS-R1,2013,15-24 years,Asian or Pacific Islander,26,508864,5.1
CENS-R1,2013,15-24 years,Black or African American,72,1284966,5.6
CENS-R1,2013,15-24 years,White,531,5747843,9.2
CENS-R1,2013,25-34 years,Asian or Pacific Islander,38,661030,5.7
CENS-R1,2013,25-34 years,Black or African American,86,1104784,7.8
CENS-R1,2013,25-34 years,White,697,5581904,12.5
CENS-R1,2013,35-44 years,Asian or Pacific Islander,37,602653,6.1
CENS-R1,2013,35-44 years,Black or African American,60,992479,6
CENS-R1,2013,35-44 years,White,824,5386061,15.3
CENS-R1,2013,45-54 years,Asian or Pacific Islander,30,493267,6.1
CENS-R1,2013,45-54 years,Black or African American,40,1053072,3.8
CENS-R1,2013,45-54 years,White,1248,6628343,18.8
CENS-R1,2013,55-64 years,Asian or Pacific Islander,28,377970,7.4
CENS-R1,2013,55-64 years,Black or African American,38,795976,4.8
CENS-R1,2013,55-64 years,White,985,6091922,16.2
CENS-R1,2013,65-74 years,Asian or Pacific Islander,10,206091,Unreliable
CENS-R1,2013,65-74 years,Black or African American,15,447546,Unreliable
CENS-R1,2013,65-74 years,White,506,3911917,12.9
CENS-R1,2013,75-84 years,White,309,2242966,13.8
CENS-R1,2013,85+ years,White,128,1171799,10.9
CENS-R1,2014,5-14 years,White,35,4995765,0.7
CENS-R1,2014,15-24 years,Asian or Pacific Islander,41,531597,7.7
CENS-R1,2014,15-24 years,Black or African American,70,1282403,5.5
CENS-R1,2014,15-24 years,White,548,5708865,9.6
CENS-R1,2014,25-34 years,Asian or Pacific Islander,41,685782,6
CENS-R1,2014,25-34 years,Black or African American,72,1141921,6.3
CENS-R1,2014,25-34 years,White,765,5626829,13.6
CENS-R1,2014,35-44 years,Asian or Pacific Islander,38,624338,6.1
CENS-R1,2014,35-44 years,Black or African American,51,1000343,5.1
CENS-R1,2014,35-44 years,White,753,5297266,14.2
CENS-R1,2014,45-54 years,Asian or Pacific Islander,22,513303,4.3
CENS-R1,2014,45-54 years,Black or African American,72,1053341,6.8
CENS-R1,2014,45-54 years,White,1329,6498879,20.4
CENS-R1,2014,55-64 years,Asian or Pacific Islander,19,397346,Unreliable
CENS-R1,2014,55-64 years,Black or African American,44,823898,5.3
CENS-R1,2014,55-64 years,White,1053,6176322,17
CENS-R1,2014,65-74 years,Asian or Pacific Islander,15,223693,Unreliable
CENS-R1,2014,65-74 years,Black or African American,15,466894,Unreliable
CENS-R1,2014,65-74 years,White,528,4055473,13
CENS-R1,2014,75-84 years,Black or African American,10,232105,Unreliable
CENS-R1,2014,75-84 years,White,270,2233013,12.1
CENS-R1,2014,85+ years,White,139,1177069,11.8
CENS-R1,2015,5-14 years,White,35,4932955,0.7
CENS-R1,2015,15-24 years,Asian or Pacific Islander,40,545877,7.3
CENS-R1,2015,15-24 years,Black or African American,84,1268400,6.6
CENS-R1,2015,15-24 years,White,528,5647384,9.3
CENS-R1,2015,25-34 years,Asian or Pacific Islander,46,708758,6.5
CENS-R1,2015,25-34 years,Black or African American,89,1174750,7.6
CENS-R1,2015,25-34 years,White,729,5652979,12.9
CENS-R1,2015,35-44 years,Asian or Pacific Islander,25,642249,3.9
CENS-R1,2015,35-44 years,Black or African American,77,1002120,7.7
CENS-R1,2015,35-44 years,White,799,5221163,15.3
CENS-R1,2015,45-54 years,Asian or Pacific Islander,33,531030,6.2
CENS-R1,2015,45-54 years,Black or African American,63,1050576,6
CENS-R1,2015,45-54 years,White,1253,6374905,19.7
CENS-R1,2015,55-64 years,Asian or Pacific Islander,24,414440,5.8
CENS-R1,2015,55-64 years,Black or African American,31,851354,3.6
CENS-R1,2015,55-64 years,White,1140,6262728,18.2
CENS-R1,2015,65-74 years,Asian or Pacific Islander,16,241463,Unreliable
CENS-R1,2015,65-74 years,Black or African American,13,487103,Unreliable
CENS-R1,2015,65-74 years,White,543,4198606,12.9
CENS-R1,2015,75-84 years,Asian or Pacific Islander,15,109893,Unreliable
CENS-R1,2015,75-84 years,White,292,2226507,13.1
CENS-R1,2015,85+ years,White,147,1181909,12.4
CENS-R1,2016,5-14 years,White,53,4888788,1.1
CENS-R1,2016,15-24 years,Asian or Pacific Islander,43,554050,7.8
CENS-R1,2016,15-24 years,Black or African American,91,1247131,7.3
CENS-R1,2016,15-24 years,White,568,5589289,10.2
CENS-R1,2016,25-34 years,Asian or Pacific Islander,30,712502,4.2
CENS-R1,2016,25-34 years,Black or African American,95,1210766,7.8
CENS-R1,2016,25-34 years,White,758,5663066,13.4
CENS-R1,2016,35-44 years,Asian or Pacific Islander,29,642268,4.5
CENS-R1,2016,35-44 years,Black or African American,62,997679,6.2
CENS-R1,2016,35-44 years,White,818,5131745,15.9
CENS-R1,2016,45-54 years,Asian or Pacific Islander,38,537982,7.1
CENS-R1,2016,45-54 years,Black or African American,45,1040038,4.3
CENS-R1,2016,45-54 years,White,1156,6212649,18.6
CENS-R1,2016,55-64 years,Asian or Pacific Islander,27,420794,6.4
CENS-R1,2016,55-64 years,Black or African American,36,870739,4.1
CENS-R1,2016,55-64 years,White,1101,6315104,17.4
CENS-R1,2016,65-74 years,Asian or Pacific Islander,15,251442,Unreliable
CENS-R1,2016,65-74 years,Black or African American,20,504790,4
CENS-R1,2016,65-74 years,White,561,4337242,12.9
CENS-R1,2016,75-84 years,Asian or Pacific Islander,10,115615,Unreliable
CENS-R1,2016,75-84 years,Black or African American,10,245749,Unreliable
CENS-R1,2016,75-84 years,White,309,2240349,13.8
CENS-R1,2016,85+ years,White,159,1183452,13.4
CENS-R1,2017,5-14 years,Black or African American,12,1119080,Unreliable
CENS-R1,2017,5-14 years,White,38,4839690,0.8
CENS-R1,2017,15-24 years,Asian or Pacific Islander,41,564396,7.3
CENS-R1,2017,15-24 years,Black or African American,97,1229121,7.9
CENS-R1,2017,15-24 years,White,640,5522055,11.6
CENS-R1,2017,25-34 years,Asian or Pacific Islander,45,739607,6.1
CENS-R1,2017,25-34 years,Black or African American,120,1248606,9.6
CENS-R1,2017,25-34 years,White,823,5692770,14.5
CENS-R1,2017,35-44 years,Asian or Pacific Islander,28,660541,4.2
CENS-R1,2017,35-44 years,Black or African American,71,1008234,7
CENS-R1,2017,35-44 years,White,852,5123423,16.6
CENS-R1,2017,45-54 years,Asian or Pacific Islander,37,558510,6.6
CENS-R1,2017,45-54 years,Black or African American,65,1033357,6.3
CENS-R1,2017,45-54 years,White,1213,6052842,20
CENS-R1,2017,55-64 years,Asian or Pacific Islander,23,438690,5.2
CENS-R1,2017,55-64 years,Black or African American,41,896556,4.6
CENS-R1,2017,55-64 years,White,1089,6357091,17.1
CENS-R1,2017,65-74 years,Asian or Pacific Islander,19,270335,Unreliable
CENS-R1,2017,65-74 years,Black or African American,24,526239,4.6
CENS-R1,2017,65-74 years,White,570,4492487,12.7
CENS-R1,2017,75-84 years,Asian or Pacific Islander,10,126195,Unreliable
CENS-R1,2017,75-84 years,White,314,2307782,13.6
CENS-R1,2017,85+ years,Asian or Pacific Islander,10,43326,Unreliable
CENS-R1,2017,85+ years,White,179,1201168,14.9
CENS-R1,2018,5-14 years,Black or African American,12,1119773,Unreliable
